width,length,type,region,model,height-min,height-max,stories,shape,library,tags

# Great Britain France 
Ireland and Netherlands
12.7,8.0,residential,GB;IE,objects/houses/EU/GB/RES_12.7x8.00_UK_1.obj,,,2,SQ,W2XP,Black
12.7,8.0,residential,GB;IE,objects/houses/EU/GB/RES_12.7x8.00_UK_2.obj,,,2,SQ,W2XP,Black
9.00,13.00,residential,GB;IE,objects/houses/EU/GB/RES_09x13.00_UK_1.obj,,,2,SQ,W2XP,Black
8.00,13.00,residential,GB;IE,objects/houses/EU/GB/RES_08x13.00_UK_1.obj,,,2,SQ,W2XP,Black
16.80,14.5,residential,GB;IE,objects/houses/EU/GB/RES_16.8x14.5_UK_1.obj,,,2,SQ,W2XP,Black
9.00,12.00,residential,GB;IE,objects/houses/EU/GB/RES_9.00x12.00_UK_1.obj,,,2,SQ,W2XP,Black
9.00,12.00,residential,GB;IE,objects/houses/EU/GB/RES_9.00x12.00_UK_2.obj,,,2,SQ,W2XP,Black
9.00,10.00,residential,GB;IE,objects/houses/EU/GB/RES_9.00x10.00_UK_1.obj,,,2,SQ,W2XP,Black
9.00,10.00,residential,GB;IE,objects/houses/EU/GB/RES_9.00x10.00_UK_2.obj,,,2,SQ,W2XP,Black
10.00,13.00,residential,GB;IE,objects/houses/EU/GB/RES_10.00x13.00_UK_1.obj,,,2,SQ,W2XP,Black
8.55,8.77,residential,GB;IE,objects/houses/EU/GB/RES_8.55x8.77_UK_1.obj,,,2,SQ,W2XP,Black
8.55,8.77,residential,GB;IE,objects/houses/EU/GB/RES_8.55x8.77_UK_2.obj,,,2,SQ,W2XP,Black
15.00,13.00,residential,GB;IE,objects/houses/EU/GB/RES_15.00x13.00_UK_1.obj,,,2,SQ,W2XP,Black
15.00,13.00,residential,GB;IE,objects/houses/EU/GB/RES_15.00x13.00_UK_2.obj,,,2,SQ,W2XP,Black
